text,emojis
更博 了 ， 爆照 了 ， 帅 的 呀 ， 就是 越来越 爱 你 ！ 生快 傻 缺 [ 爱 你 ] [ 爱 你 ] [ 爱 你 ],"['[爱你]', '[爱你]', '[爱你]']"
姑娘 都 羡慕 你 呢 … 还有 招财猫 高兴 … … / / @ 爱 在 蔓延 - JC : [ 哈哈 ] 小 学徒 一枚 ， 等 着 明天 见 您 呢 / / @ 李欣芸 SharonLee : 大佬 范儿 [ 书呆子 ],"['[哈哈]', '[书呆子]']"
[ 花心 ] [ 鼓掌 ] / / @ 小 懒猫 Melody2011 :   [ 春暖花开 ],"['[花心]', '[鼓掌]', '[春暖花开]']"
"# Sweet   Morning # From   now   on , love   yourself , enjoy   living   then   smile . 从 现在 开始 ， 爱 自己 ， 享受 生活 并且 微笑 。 [ 呵呵 ]   [ 嘻嘻 ]   [ 哈哈 ]   [ 挤眼 ]   [ 太 开心 ]   早安 、 甜心 们","['[呵呵]', '[嘻嘻]', '[哈哈]', '[挤眼]', '[太开心]']"
[ 鼓掌 ] / / @ 慕春彦 :   一流 的 经纪 公司 是 超模 的 摇篮 ！ [ 鼓掌 ]   / / @ 姚戈 : 东方 宾利 强大 的 名模 军团 ！,"['[鼓掌]', '[鼓掌]']"
真 好 / / @ 宁波 华侨 豪生 大酒店 ： [ 可爱 ]   [ 害羞 ],"['[可爱]', '[害羞]']"
"第一次 见到 有 花瓣 的 面膜 ， 一片 抵 普通 面膜 好几片   [ 哈哈 ] ！ 补水 神器 啊 ， 一帖 见效 ！   睡前 一片 ， 15 分钟 超 神奇 膜法 ， 第二天 起来 你 会 发现 你 脸 又 白 又 嫩 还有 光泽 ， 持续 几天 皮肤 好像 剥 了 壳 的 鸡蛋 一样 白白 嫩嫩的 [ 太 开心 ] ！   明星 推荐 ， 美妆 老师 私藏 的 神奇 "" 膜 "" 法 ！ 8 片 礼盒装 抢购 地址 > > > （ 去 评论 中 找 链接 哦 ）","['[哈哈]', '[太开心]']"
"[ 雪 ] 大象 感觉 好 冷 喔 。 。 。   / / @ 刑警 叔叔 :   @ 小豆 冰棍 J202 , @ 朱 大象 。 / / @ 新浪 短信 微博 : 大象 放 冰箱 分三步 ， 绑定 手机 也 分三步 。 大象 放 冰箱 很 冷 ， 微博绑 了 手机 更 安全 哦 ～ [ 可爱 ]","['[雪]', '[可爱]']"
[ 哈哈 ]   / / @ 维他命 羊 : 探子 ！ [ 偷笑 ]   / / @ 每日 维他命 Beijing :   [ 偷笑 ] @ 曙光 ruirui   / / @ 不赖 赖 :   店里 来 了 探子 竟 不知   / / @ 薄荷 Rebecca : @ 不赖 赖   @ 冷山 雪具   赖 老板 的 货品 华丽 丽 的 出镜 鸟 [ 鼓掌 ],"['[哈哈]', '[偷笑]', '[偷笑]', '[鼓掌]']"
# 约惠 海航   圆梦 飞翔 # 【 惠享 直减 】 购票 购票 购票 ， 直 减直 减直 减 [ 打哈欠 ]   这 不 冲突 ， 也 很 科学 ， 来 海航 官网 购票 ， 管够 ， 管 实惠 http : / / t . cn / zRpYB9r   [ 嘻嘻 ]   每天 500 个 名额 ， 20 元 的 直减 ， ok 的 赶快 来 [ 赞 ]   今天 第二 波 15 点 开始 ~,"['[打哈欠]', '[嘻嘻]', '[赞]']"
角度 问题 [ 哈哈 ]   ， 童子鸡 ， 马子 不大 的 / / @ - 小 K 妈 - : 好肥 的 一只 鸡 啊 ！ 怎么 感觉 有点 “ 变异 ” 了 啊 ！ [ 哈哈 ] [ 疑问 ],"['[哈哈]', '[哈哈]', '[疑问]']"
程 哥哥 最近 一直 对 着 小 蹦 同学 各种 拍 呀 拍 [ 照相机 ] / / @ 小予 CAT :   [ 心 ]   好久没 给 他们 拍照 了 [ 哈哈 ]   / / @ ajoin :   @ 小予 CAT,"['[照相机]', '[心]', '[哈哈]']"
